# Ghia et al. (1982) Re=100 centerline velocity reference data
# Source: Ghia, U., Ghia, K.N., Shin, C.T. (1982).
#   "High-Re solutions for incompressible flow using the Navier-Stokes
#    equations and a multigrid method."
#   Journal of Computational Physics, 48(3), 387-411.
#   Table 1 (u-velocity, x=0.5) and Table 3 (v-velocity, y=0.5).
#
# Conditions: Re = 100, U_lid = 1.0 m/s, L = 1.0 m, nu = 0.01 m^2/s.
# axis: 'u' = x-component of velocity along vertical centerline (x = 0.5)
# axis: 'v' = y-component of velocity along horizontal centerline (y = 0.5)
# coord: normalised coordinate [0,1] (y for u-axis, x for v-axis)
# ref_value: velocity component [m/s]
axis,coord,ref_value
u,0.0000,0.00000
u,0.0547,-0.03717
u,0.0625,-0.04192
u,0.0703,-0.04775
u,0.1016,-0.06434
u,0.1719,-0.10150
u,0.2813,-0.15662
u,0.4531,-0.21090
u,0.5000,-0.20581
u,0.6172,-0.13641
u,0.7344,0.00332
u,0.8516,0.23151
u,0.9531,0.68717
u,0.9609,0.73722
u,0.9688,0.78871
u,0.9766,0.84123
u,1.0000,1.00000
v,0.0000,0.00000
v,0.0625,0.09233
v,0.0703,0.10091
v,0.0781,0.10890
v,0.0938,0.12317
v,0.1563,0.16077
v,0.2266,0.17507
v,0.2344,0.17527
v,0.5000,0.05454
v,0.8047,-0.24533
v,0.8594,-0.22445
v,0.9063,-0.16914
v,0.9453,-0.10313
v,0.9531,-0.08864
v,0.9609,-0.07391
v,0.9688,-0.05906
v,1.0000,0.00000
